Value,Frequency
1,276013
2,42884
1/2,41336
1/3,21436
3,11990
4,9718
3/2,8290
1/4,7554
6,3261
2/3,2762
1/6,2497
1/5,2344
8,2236
5,1744
3/4,1451
1/8,1316
10,646
12,606
1/10,597
3/8,547
1/7,541
1/9,527
4/3,465
9,424
7,383
5/2,327
9/2,255
16,206
15,190
7/2,143
9/4,130
5/4,125
1/12,123
1/13,119
14,119
2/5,114
2/7,103
13,97
1/11,86
1/14,76
1/15,76
2/9,76
8/3,68
20,62
5/3,51
3/7,51
1/16,49
24,48
3/10,46
7/3,46
11,45
13/2,44
3/14,44
5/8,43
7/4,42
18,37
7/12,27
3/5,26
1/21,26
16/3,25
11/2,25
15/2,25
21,25
2/13,24
3/16,23
4/5,22
7/6,20
1/20,20
7/8,17
28,17
3/13,15
2/15,15
11/3,15
10/3,14
5/6,14
30,13
15/4,12
2/11,12
32,12
1/18,11
13/3,10
21/4,10
11/4,10
1/28,8
19,8
1/19,8
42,8
21/2,7
25,6
1/25,6
27/2,6
4/9,6
1/24,6
22,5
26,5
5/16,5
4/7,5
36,4
6/7,4
14/3,4
17,4
1/17,4
27,4
2/19,4
13/4,4
20/3,4
3/20,3
3/28,3
40,3
3/11,3
7/9,3
12/7,3
25/2,3
14/9,2
19/3,2
6/5,2
1/60,2
4/15,2
1/42,2
2/25,2
19/2,2
3/32,2
1/22,2
33,2
19/4,2
4/19,2
33/2,2
27/4,2
8/9,2
2/27,2
3/22,1
60,1
48,1
1/48,1
43,1
1/43,1
44,1
3/44,1
3/40,1
13/12,1
9/28,1
5/7,1
41/6,1
1/41,1
1/39,1
17/4,1
3/17,1
25/18,1
23,1
1/23,1
13/18,1
9/8,1
45/4,1
1/40,1
13/6,1
11/16,1
11/12,1
1/32,1
33/4,1
4/33,1
9/10,1
8/15,1
23/3,1
2/23,1
28/3,1
5/11,1
10/9,1
6/13,1
17/3,1
4/17,1
34,1
1/34,1
105/4,1
57/2,1
32/3,1
